id,area,address,information,distance_from_subway,price,feature
60733773,天通西苑三区4居室-南卧,[昌平天通苑] 5号线天通苑,"['23.3㎡', '5/17层', '4室1厅', '合']",距5号线天通苑站273米,￥2590(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 木棉']"
60827730,龙博苑一区4居室-南卧,[昌平回龙观] 13号线回龙观,"['23.6㎡', '6/6层', '4室1厅', '合']",距13号线回龙观站227米,￥2790(每月),"['离地铁近', '独立阳台', '独立供暖', '友家4.0 木棉']"
60844879,中建国际港2居室-南,[大兴西红门] 4号线枣园,"['89.95㎡', '20/29层', '2室2厅', '整']",距4号线枣园站99米,￥5590(每月),"['离地铁近', '集体供暖', '清语']"
60842009,北街家园一区4居室-南卧,[昌平沙河] 昌平线沙河高教园,"['20.5㎡', '7/9层', '4室1厅', '合']",距昌平线沙河高教园站1016米,￥1890(每月),"['离地铁近', '独卫', '集体供暖', '友家4.0 拿铁']"
60843656,太平家园2居室-南北,[昌平天通苑] 5号线天通苑南,"['91.55㎡', '2/6层', '2室1厅', '直']",距5号线天通苑南站498米,￥5700(每月),"['离地铁近', '独立阳台', '集体供暖']"
60842012,北街家园一区4居室-南卧,[昌平沙河] 昌平线沙河高教园,"['15.3㎡', '7/9层', '4室1厅', '合']",距昌平线沙河高教园站1016米,￥1560(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 木棉']"
60834267,新里.西斯莱公馆5居室-南卧,[大兴黄村] 4号线高米店南,"['27.4㎡', '9/24层', '5室1厅', '合']",距4号线高米店南站563米,￥3190(每月),"['离地铁近', '独卫', '集体供暖', '友家4.0 木棉']"
60788751,枣园小区5居室-南卧,[大兴枣园] 4号线枣园,"['27.4㎡', '3/6层', '5室1厅', '合']",距4号线枣园站371米,￥2290(每月),"['离地铁近', '集体供暖', '友家4.0 木棉']"
60752069,天通西苑一区4居室-南卧,[昌平天通苑] 5号线天通苑南,"['25.3㎡', '3/7层', '4室1厅', '合']",距5号线天通苑南站238米,￥2660(每月),"['离地铁近', '集体供暖', '友家4.0 木棉']"
60849259,通泰国际公馆1居室-南,[亦庄开发区亦庄] 亦庄线经海路,"['53.26㎡', '6/14层', '1室1厅', '直']",距亦庄线经海路站100米,￥3790(每月),"['离地铁近', '集体供暖']"
60845349,云趣园二区4居室-南卧,[昌平回龙观] 8号线育知路,"['19.5㎡', '6/7层', '4室1厅', '合']",距8号线育知路站572米,￥3390(每月),"['离地铁近', '独卫', '独立阳台', '独立供暖', '友家4.0 拿铁']"
60752066,天通西苑一区4居室-南卧,[昌平天通苑] 5号线天通苑南,"['17.48㎡', '3/7层', '4室1厅', '合']",距5号线天通苑南站238米,￥2930(每月),"['离地铁近', '独卫', '集体供暖', '友家4.0 拿铁']"
60845350,云趣园二区4居室-南卧,[昌平回龙观] 8号线育知路,"['13.9㎡', '6/7层', '4室1厅', '合']",距8号线育知路站572米,￥2390(每月),"['离地铁近', '独立阳台', '独立供暖', '友家4.0 拿铁']"
60780724,郁花园三里1居室-南,[大兴西红门] 4号线高米店北,"['70.49㎡', '5/18层', '1室1厅', '整']",距4号线高米店北站413米,￥4630(每月),"['离地铁近', '独立阳台', '集体供暖', '清语']"
60827914,首开国风美唐三期4居室-南卧,[昌平回龙观] 13号线霍营,"['18㎡', '13/18层', '4室1厅', '合']",距13号线霍营站429米,￥3090(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 木棉']"
60825994,弘善家园4居室-南卧,[朝阳潘家园] 10号线十里河,"['19.8㎡', '8/26层', '4室1厅', '合']",距10号线十里河站349米,￥3830(每月),"['离地铁近', '独卫', '独立阳台', '独立供暖', '友家4.0 拿铁']"
60844301,金惠园三里3居室-南卧,[大兴西红门] 4号线高米店北,"['10.1㎡', '2/7层', '3室1厅', '合']",距4号线高米店北站467米,￥1890(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 米苏']"
60819265,百合湾2居室-南,[通州武夷花园] 6号线北运河东,"['83.23㎡', '3/20层', '2室1厅', '直']",距6号线北运河东站1262米,￥5000(每月),"['离地铁近', '集体供暖']"
60842010,北街家园一区4居室-南卧,[昌平沙河] 昌平线沙河高教园,"['11㎡', '7/9层', '4室1厅', '合']",距昌平线沙河高教园站1016米,￥1430(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 布丁']"
60843764,新龙城3居室-南卧,[昌平回龙观] 13号线龙泽,"['13.4㎡', '4/20层', '3室1厅', '合']",距13号线龙泽站437米,￥2560(每月),"['离地铁近', '独立阳台', '独立供暖', '友家4.0 布丁']"
60829355,通惠家园1居室-南,[朝阳四惠] 1号线四惠东,"['86.48㎡', '18/28层', '1室1厅', '整']",距1号线四惠东站350米,￥6490(每月),"['离地铁近', '集体供暖', '清语']"
60810005,新通国际花园1居室-南,[通州玉桥] 八通线梨园,"['57.38㎡', '23/28层', '1室1厅', '直']",距八通线梨园站337米,￥4500(每月),"['离地铁近', '独立阳台', '集体供暖']"
60843762,新龙城3居室-南卧,[昌平回龙观] 13号线龙泽,"['11.9㎡', '4/20层', '3室1厅', '合']",距13号线龙泽站437米,￥2590(每月),"['离地铁近', '独立阳台', '独立供暖', '友家4.0 拿铁']"
60842813,金隅万科城2居室-西南,[昌平昌平其它] 昌平线昌平站,"['85㎡', '27/28层', '2室1厅', '直']",距昌平线昌平站站888米,￥4500(每月),"['离地铁近', '集体供暖']"
60835796,西湖新村4居室-南卧,[昌平小汤山] ,"['27.15㎡', '2/6层', '4室1厅', '合']",,￥1790(每月),"['独立阳台', '集体供暖', '友家4.0 木棉']"
60782239,润泽公馆2居室-南,[朝阳北苑] 13号线北苑,"['106.66㎡', '5/23层', '2室1厅', '整']",距13号线北苑站1255米,￥8560(每月),"['离地铁近', '独卫', '集体供暖', '清语']"
60749545,育龙家园4居室-南卧,[大兴旧宫] 亦庄线旧宫,"['14.4㎡', '3/6层', '4室1厅', '合']",距亦庄线旧宫站1148米,￥2490(每月),"['离地铁近', '独卫', '独立供暖', '友家4.0 拿铁']"
60771698,裕龙西区3居室-南卧,[顺义顺义城] 15号线顺义,"['31.1㎡', '6/6层', '3室1厅', '合']",距15号线顺义站914米,￥2160(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 木棉']"
60845352,云趣园二区4居室-北卧,[昌平回龙观] 8号线育知路,"['10.2㎡', '6/7层', '4室1厅', '合']",距8号线育知路站572米,￥1790(每月),"['离地铁近', '独立阳台', '独立供暖', '友家4.0 米苏']"
60763387,石景苑3居室-南卧,[顺义顺义城] 15号线石门,"['15㎡', '4/6层', '3室1厅', '合']",距15号线石门站825米,￥2090(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 木棉']"
60833255,天通苑东一区4居室-南卧,[昌平天通苑] 5号线天通苑南,"['16.6㎡', '2/6层', '4室1厅', '合']",距5号线天通苑南站1723米,￥2160(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 木棉']"
60840392,芍药居甲2号院2居室-南,[朝阳芍药居] 13号线芍药居,"['64.52㎡', '3/6层', '2室1厅', '整']",距13号线芍药居站427米,￥6460(每月),"['离地铁近', '独立阳台', '集体供暖', '清语']"
60829414,富强东里3居室-南卧,[大兴黄村] 4号线清源路,"['12.6㎡', '4/6层', '3室1厅', '合']",距4号线清源路站997米,￥1790(每月),"['离地铁近', '独立阳台', '独立供暖', '友家4.0 木棉']"
60825891,领秀慧谷D区4居室-南卧,[昌平回龙观] 昌平线生命科学园,"['11.9㎡', '10/13层', '4室1厅', '合']",距昌平线生命科学园站663米,￥1890(每月),"['离地铁近', '独立供暖', '友家4.0 米苏']"
60827911,首开国风美唐三期4居室-南卧,[昌平回龙观] 13号线霍营,"['15.2㎡', '13/18层', '4室1厅', '合']",距13号线霍营站429米,￥3590(每月),"['离地铁近', '独卫', '集体供暖', '友家4.0 拿铁']"
